
@corpus\AlbertoProenca.md	@corpus\AlbertoProenca.md	VERB	
férias	féria	NOUN	
na	em o	ADP	
praia	praia	NOUN	
eram	ser	AUX	
só	só	ADV	
europeus	europeu	ADJ	

Os	o	DET	
locais	local	NOUN	
tinham	ter	VERB	
construções	construção	NOUN	
de	de	ADP	
características	característica	NOUN	
diferentes	diferente	ADJ	
que	que	SCONJ	
nós	nós	PRON	
chamávamos	chamávar	VERB	
palhotas	palhota	NOUN	

A	a	SCONJ	
viverem	viver	VERB	
em	em	ADP	
construções	construção	NOUN	
de	de	ADP	
betão	betão	NOUN	
de	de	ADP	
cimento	cimento	NOUN	
e	e	CCONJ	
de	de	ADP	
blocos	bloco	NOUN	
não	não	ADV	
havia	haver	VERB	
muitos	muito	PRON	

Já	já	ADV	
havia	haver	VERB	
indianos	indiano	NOUN	
mestiços	mestiço	NOUN	
havia	haver	VERB	
vários	vários	PRON	
mas	mas	CCONJ	
a	o	DET	
população	população	NOUN	
local	local	ADJ	
pelo	por o	ADP	
menos	menos	NOUN	
naquela	em aquele	ADP	
altura	altura	NOUN	
nos	em o	ADP	
anos	ano	NOUN	
60	60	NUM	
havia	haver	VERB	
muito	muito	ADV	
pouco	pouco	ADV	

Depois	depois	ADV	
em	em	ADP	
Lourenço Marques	Lourenço Marques	PROPN	LOC
já	já	ADV	
vim	vir	VERB	
encontrar	encontrar	VERB	
um	um	DET	
mundo	mundo	NOUN	
bem	bem	ADV	
diferente	diferente	ADJ	
aí	aí	ADV	
já	já	ADV	
havia	haver	VERB	
muita	muito	DET	
população	população	NOUN	

Nos	em o	ADP	
meios	meio	NOUN	
mais	mais	ADV	
pequenos	pequeno	ADJ	
nas	em o	ADP	
pequenas	pequeno	ADJ	
cidades	cidade	NOUN	
mais	mais	ADV	
do	de o	ADP	
norte	norte	NOUN	
e	e	CCONJ	
do	de o	ADP	
interior	interior	NOUN	
não	não	ADV	
era	ser	AUX	
normal	normal	ADJ	
a	o	DET	
população	população	NOUN	
africana	africano	ADJ	
estar	estar	AUX	
nesse	em esse	ADP	
género	género	NOUN	
de	de	ADP	
bairros	bairro	NOUN	

#	#	PROPN	
#	#	PROPN	

Casa	casa	PROPN	
de	de	ADP	
criança	criança	NOUN	

#	#	CCONJ	

#	#	PROPN	

A	o	DET	
primeira	primeiro	ADJ	
casa	casa	NOUN	
era	ser	AUX	
em	em	ADP	
Nampula	Nampula	PROPN	LOC
foi	ser	AUX	
a	o	DET	
casa	casa	NOUN	
onde	onde	PRON	
eu	eu	PRON	
vivi	viver	VERB	
até	até	ADP	
cerca	cerca	ADV	
dos	de o	ADP	
10	10	NUM	
anos	ano	NOUN	

Não	não	ADV	
tenho	ter	VERB	
noção	noção	NOUN	
da	de o	ADP	
dimensão	dimensão	NOUN	
dos	de o	ADP	
espaços	espaço	NOUN	
porque	porque	SCONJ	
uma	um	DET	
coisa	coisa	NOUN	
é	ser	AUX	
aquilo	aquilo	PRON	
que	que	PRON	
a	o	DET	
pessoa	pessoa	NOUN	
se	se	PRON	
lembra	lembrar	VERB	
enquanto	enquanto	ADV	
é	ser	AUX	
pequena	pequeno	ADJ	
em	em	ADP	
que	que	PRON	
tudo	tudo	PRON	
que	que	PRON	
é	ser	AUX	
espaço	espaço	NOUN	
é	ser	AUX	
grande	grande	ADJ	

Eu	eu	PRON	
saí	saí	VERB	
de	de	ADP	
lá	lá	ADV	
com	com	ADP	
10	10	NUM	
anos	ano	NOUN	
dá	dar	VERB	
ainda	ainda	ADV	
para	para	SCONJ	
poder	poder	VERB	
lembrar	lembrar	VERB	
como	como	ADV	
eram	ser	AUX	
as	o	DET	
divisões	divisão	NOUN	
das	de o	ADP	
casas	casa	NOUN	

Aquela	Aquele	DET	
parte	parte	NOUN	
de	de	ADP	
Nampula	Nampula	PROPN	LOC
onde	onde	PRON	
eu	eu	PRON	
vivia	viver	VERB	
era	ser	AUX	
a	o	DET	
parte	parte	NOUN	
habitada	habitar	VERB	
essencialmente	essencialmente	ADV	
por	por	ADP	
europeus	europeu	NOUN	
e	e	CCONJ	
o	o	DET	
tipo	tipo	NOUN	
de	de	ADP	
construção	construção	NOUN	
perfeitamente	perfeitamente	ADV	
equivalente	equivalente	ADJ	
à	a o	PRON	
de	de	ADP	
Portugal	Portugal	PROPN	LOC

Ainda	ainda	ADV	
não	não	ADV	
havia	haver	VERB	
construções	construção	NOUN	
em	em	ADP	
termos	termos	NOUN	
de	de	ADP	
prédios	prédio	NOUN	

Eu	eu	PRON	
lembro-me	lembro-me	VERB	
que	que	SCONJ	
o	o	DET	
primeiro	primeiro	ADJ	
prédio	prédio	NOUN	
que	que	PRON	
apareceu	aparecer	VERB	
lá	lá	ADV	
de	de	ADP	
quatro	quatro	NUM	
andares	andar	NOUN	
em	em	ADP	
que	que	PRON	
é	ser	AUX	
obrigatório	obrigatório	ADJ	
o	o	DET	
elevador	elevador	NOUN	
apareceu	aparecer	VERB	
já	já	ADV	
quando	quando	ADV	
eu	eu	PRON	
devia	dever	VERB	
ter	ter	VERB	
6/8	6/8	NUM	
anos	ano	NOUN	

Era	ser	AUX	
o	o	DET	
prédio	prédio	NOUN	
da	de o	ADP	
cidade	cidade	NOUN	
e	e	CCONJ	
tudo	tudo	PRON	
o	o	DET	
resto	resto	NOUN	
era	ser	AUX	
tipo	tipo	NOUN	
vivendas	vivenda	NOUN	

Foi	ser	AUX	
uma	um	DET	
casa	casa	NOUN	
que	que	PRON	
os	o	DET	
meus	meu	DET	
pais	pai	NOUN	
conseguiram	conseguir	VERB	
construir	construir	VERB	
mediante	mediante	ADP	
um	um	DET	
empréstimo	empréstimo	NOUN	
para	para	SCONJ	
ter	ter	VERB	
habitação	habitação	NOUN	
própria	próprio	ADJ	
mas	mas	CCONJ	
era	ser	AUX	
aquilo	aquilo	PRON	
a	a	ADP	
que	que	PRON	
se	se	PRON	
chama	chamar	VERB	
hoje	hoje	ADV	
em	em	ADP	
dia	dia	NOUN	
uma	um	DET	
moradia	moradia	NOUN	
germinada	germinar	VERB	

Eram	Eram	AUX	
duas	dois	NUM	
casas	casa	NOUN	
coladas	colar	VERB	
cada	cada	DET	
uma	um	NUM	
delas	de ele	PRON	
com	com	ADP	
três	três	NUM	
frentes	frente	NOUN	
e	e	CCONJ	
um	um	DET	
jardim	jardim	NOUN	

Era	ser	ADV	
numa	em um	ADP	
esquina	esquina	NOUN	
de	de	ADP	
uma	um	DET	
rua	rua	NOUN	
e	e	CCONJ	
tinha	ter	VERB	
mesmo	mesmo	ADV	
duas	dois	NUM	
frentes	frente	NOUN	

Uma	um	NUM	
delas	de elas	PRON	
era	ser	AUX	
a	o	DET	
entrada	entrada	NOUN	
principal	principal	ADJ	
tinha	ter	VERB	
um	um	DET	
jardim	jardim	NOUN	
e	e	CCONJ	
a	o	DET	
parte	parte	NOUN	
lateral	lateral	ADJ	
tinha	ter	VERB	
a	o	DET	
entrada	entrada	NOUN	
para	para	ADP	
o	o	DET	
carro	carro	NOUN	

Depois	depois	ADV	
mudei	mudar	VERB	
onde	onde	PRON	
vivi	viver	VERB	
até	até	ADV	
ter	ter	VERB	
13	13	NUM	
anos	ano	NOUN	
e	e	CCONJ	
só	só	ADV	
depois	depois	ADV	
é	ser	AUX	
que	que	SCONJ	
fui	ser	AUX	
para	para	ADP	
Lourenço Marques	Lourenço Marques	PROPN	PER

Mas	mas	CCONJ	
onde	onde	PRON	
eu	eu	PRON	
tenho	ter	VERB	
mais	mais	DET	
recordações	recordação	NOUN	
é	ser	AUX	
em	em	ADP	
Nampula	Nampula	PROPN	LOC
que	que	PRON	
era	ser	AUX	
onde	onde	ADV	
eu	eu	PRON	
passava	passar	VERB	
as	o	DET	
minhas	meu	DET	
férias	féria	NOUN	
na	em o	ADP	
piscina	piscina	NOUN	

Na	em o	ADP	
segunda	segundo	ADJ	
casa	casa	NOUN	
eu	eu	PRON	
